gene	cell_type	Direction
Mn1	Interneurons_Pnoc+	UpReg
Nfe2l1	Interneurons_Pnoc+	UpReg
Nme7	Interneurons_Pnoc+	UpReg
Pcca	Interneurons_Pnoc+	UpReg
Pcdh10	Interneurons_Pnoc+	UpReg
Pdia6	Interneurons_Pnoc+	UpReg
Ptn	Interneurons_Pnoc+	UpReg
Ptprd	Interneurons_Pnoc+	UpReg
Samd5	Interneurons_Pnoc+	UpReg
Scd2	Interneurons_Pnoc+	UpReg
Selenof	Interneurons_Pnoc+	UpReg
Syndig1	Interneurons_Pnoc+	UpReg
Adcy5	MSN_Grm8+_2	UpReg
Alcam	MSN_Grm8+_2	UpReg
Atxn7l3	MSN_Grm8+_2	UpReg
Cacna2d3	MSN_Grm8+_2	UpReg
Caln1	MSN_Grm8+_2	UpReg
Ccni	MSN_Grm8+_2	UpReg
Cd81	MSN_Grm8+_2	UpReg
Clstn1	MSN_Grm8+_2	UpReg
Dram1	MSN_Grm8+_2	UpReg
Erp29	MSN_Grm8+_2	UpReg
Fth1	MSN_Grm8+_2	UpReg
Gabbr1	MSN_Grm8+_2	UpReg
Gjc3	MSN_Grm8+_2	UpReg
Gnal	MSN_Grm8+_2	UpReg
Grb2	MSN_Grm8+_2	UpReg
Grik4	MSN_Grm8+_2	UpReg
Higd2a	MSN_Grm8+_2	UpReg
Inpp4b	MSN_Grm8+_2	UpReg
L1cam	MSN_Grm8+_2	UpReg
Maged1	MSN_Grm8+_2	UpReg
Mtch1	MSN_Grm8+_2	UpReg
Nomo1	MSN_Grm8+_2	UpReg
Pcbp4	MSN_Grm8+_2	UpReg
Pde1a	MSN_Grm8+_2	UpReg
Phactr1	MSN_Grm8+_2	UpReg
Plp1	MSN_Grm8+_2	UpReg
Ptpre	MSN_Grm8+_2	UpReg
Rpn2	MSN_Grm8+_2	UpReg
Rptor	MSN_Grm8+_2	UpReg
Saraf	MSN_Grm8+_2	UpReg
Sst	MSN_Grm8+_2	UpReg
Synpr	MSN_Grm8+_2	UpReg
Syt17	MSN_Grm8+_2	UpReg
Syt4	MSN_Grm8+_2	UpReg
Tspan13	MSN_Grm8+_2	UpReg
Tspan2	MSN_Grm8+_2	UpReg
Zcchc17	MSN_Grm8+_2	UpReg
Alg10b	OPC	UpReg
Apbb2	OPC	UpReg
Apoe	OPC	UpReg
Atrx	OPC	UpReg
Borcs6	OPC	UpReg
Canx	OPC	UpReg
Cd81	OPC	UpReg
Clu	OPC	UpReg
Cpne8	OPC	UpReg
Dbr1	OPC	UpReg
Ddrgk1	OPC	UpReg
Dph6	OPC	UpReg
Esf1	OPC	UpReg
Foxp2	OPC	UpReg
Gcsh	OPC	UpReg
Git1	OPC	UpReg
Glo1	OPC	UpReg
Gria4	OPC	UpReg
Irgq	OPC	UpReg
Kctd17	OPC	UpReg
Lingo2	OPC	UpReg
Mgat2	OPC	UpReg
Nalcn	OPC	UpReg
Ncam2	OPC	UpReg
Nfasc	OPC	UpReg
Nova1	OPC	UpReg
Pde1c	OPC	UpReg
Pdia6	OPC	UpReg
Phykpl	OPC	UpReg
Psenen	OPC	UpReg
Ptn	OPC	UpReg
Rarb	OPC	UpReg
Reep2	OPC	UpReg
Scg3	OPC	UpReg
Selenof	OPC	UpReg
Selenos	OPC	UpReg
Ska3	OPC	UpReg
Slc8a1	OPC	UpReg
Ssbp3	OPC	UpReg
Sycp2	OPC	UpReg
Tceal3	OPC	UpReg
Timm50	OPC	UpReg
Tmem176b	OPC	UpReg
Tmem25	OPC	UpReg
Trpm3	OPC	UpReg
Twsg1	OPC	UpReg
Ylpm1	OPC	UpReg
Zfp445	OPC	UpReg
Zfp976	OPC	UpReg
Znrd1	OPC	UpReg
Ammecr1	Interneurons_Th+	UpReg
Arxes1	Interneurons_Th+	UpReg
Atp6v0c	Interneurons_Th+	UpReg
Bsg	Interneurons_Th+	UpReg
Calm3	Interneurons_Th+	UpReg
Cd81	Interneurons_Th+	UpReg
Clu	Interneurons_Th+	UpReg
Ddx24	Interneurons_Th+	UpReg
Dgkb	Interneurons_Th+	UpReg
Gnpat	Interneurons_Th+	UpReg
Kif22	Interneurons_Th+	UpReg
Lrpap1	Interneurons_Th+	UpReg
Ndn	Interneurons_Th+	UpReg
Ndufa4	Interneurons_Th+	UpReg
Nme7	Interneurons_Th+	UpReg
Nptxr	Interneurons_Th+	UpReg
Pcsk1n	Interneurons_Th+	UpReg
Pdia6	Interneurons_Th+	UpReg
Pgrmc1	Interneurons_Th+	UpReg
Praf2	Interneurons_Th+	UpReg
Ptn	Interneurons_Th+	UpReg
Robo1	Interneurons_Th+	UpReg
Rps27a	Interneurons_Th+	UpReg
Saraf	Interneurons_Th+	UpReg
Scd2	Interneurons_Th+	UpReg
Scg2	Interneurons_Th+	UpReg
Selenof	Interneurons_Th+	UpReg
Slc1a3	Interneurons_Th+	UpReg
Tfrc	Interneurons_Th+	UpReg
Tmem130	Interneurons_Th+	UpReg
Tmx4	Interneurons_Th+	UpReg
